ID,,Geography,,,Districts,,,MyCampaign,,DVC Universe,,Expected Vote,,Turf Assignment,
VAN Precinct ID,DNC Precinct ID,State,County,Precinct Name,CD,SD,HD,Historic Vols,Total MyC,Mid Support DVC,High Support DVC,Exp Vote,Exp Dem,Region,Organizer
348122,648422,GA,Colquitt,17,8,11,172,1,6,68,136,872.907,157.6712437,,
348123,636907,GA,Colquitt,18,8,11,172,1,3,33,49,642.9271,102.6423384,,
348124,630794,GA,Colquitt,19,8,11,172,1,10,129,275,1262.3476,280.4387426,,
348126,721736,GA,Colquitt,20,8,11,172,,1,30,58,470.2519,81.32521768,,
348127,660775,GA,Colquitt,21,8,11,172,,,12,12,160.446,20.62083919,,
348128,594614,GA,Colquitt,22,8,11,172,,,22,13,306.5504,41.28336502,,
348129,592481,GA,Colquitt,23,8,11,172,,2,36,37,557.623,71.97708389,,
348133,682699,GA,Columbia,10,12,24,125,,17,135,225,2114.4733,402.5936376,,
2329894,1142652,GA,Columbia,13,12,23,131,4,13,198,510,895.2466,411.5287506,,
2155316,1113529,GA,Columbia,14,12,24,131,2,18,234,614,1073.9989,496.8211045,,
348152,680360,GA,Columbia,15,12,24,131,16,54,492,1076,2758.0649,1131.58229,,
348153,670415,GA,Columbia,16,12,23,125,3,13,111,264,920.5042,284.2312482,,
1701079,946320,GA,Columbia,17,12,24,131,7,23,208,406,1337.4918,499.3883793,,
1937040,1063640,GA,Columbia,18,12,23,131,1,4,72,183,451.3517,179.7039973,,
2155319,1113530,GA,Columbia,19,12,23,131,6,32,356,1066,1387.1394,819.9351383,,
348154,694172,GA,Columbia,20,12,23,125,2,13,178,443,1469.3277,440.2598933,,
2006551,1079412,GA,Columbia,22,12,23,125,2,12,183,531,1171.2815,479.9642686,,
2006550,1079413,GA,Columbia,24,12,23,125,,6,82,178,976.373,214.6237896,,
348156,586417,GA,Columbia,25,12,23,125,13,71,677,1760,3144.8869,1447.102839,,
348158,663526,GA,Columbia,30,12,23,125,4,31,459,1490,2235.3709,1153.532613,,
348159,628662,GA,Columbia,31,12,23,125,12,39,309,1106,1281.9652,774.1796358,,
348160,689758,GA,Columbia,32,12,23,125,1,13,163,495,1101.6365,432.7307861,,
348161,650559,GA,Columbia,33,12,23,125,3,19,272,938,1130.2049,668.7556776,,
1854545,1000458,GA,Columbia,34,12,23,125,2,22,214,851,1029.2284,560.92766,,
348162,586438,GA,Columbia,40,12,24,125,1,10,79,150,920.3985,202.3059137,,
1701158,670409,GA,Columbia,50,12,24,123,2,4,77,240,479.8154,204.4480359,,
348164,663523,GA,Columbia,51,12,24,123,,3,31,57,780.427,120.2873954,,
348165,668725,GA,Columbia,60,12,24,131,5,27,202,448,1331.7842,462.8248627,,
1701159,682671,GA,Columbia,62,12,24,125,7,42,382,692,1966.6307,766.5308482,,
348169,626478,GA,Columbia,64,12,24,131,18,76,692,1201,4547.9205,1598.998472,,
1701160,710798,GA,Columbia,65,12,24,131,4,30,317,681,2527.3712,771.923647,,
2155320,1113531,GA,Columbia,68,12,24,125,11,36,261,411,1716.004,575.0688953,,
348173,586444,GA,Columbia,75,12,23,125,5,30,190,465,1433.2777,552.9440724,,
348174,652675,GA,Columbia,76,12,23,127,6,22,263,711,1548.8841,611.4555789,,
348176,721722,GA,Columbia,85,12,23,127,3,27,248,613,1989.7707,625.2391693,,
348177,640829,GA,Columbia,90,12,24,127,6,26,236,536,2069.3091,632.6951159,,
348134,644648,GA,Columbia,100,12,24,127,2,17,196,454,1244.7275,438.6074854,,
348137,620512,GA,Columbia,107,12,24,127,11,32,283,488,1671.7348,663.6258684,,
1701161,682682,GA,Columbia,108,12,24,127,6,22,162,310,1211.6178,421.3331541,,
348139,586486,GA,Columbia,109,12,24,127,13,44,391,538,3077.2238,932.8163077,,
348140,677505,GA,Columbia,110,12,24,127,3,7,92,274,613.945,237.2371906,,
348142,636937,GA,Columbia,115,12,24,127,4,17,180,420,968.1936,393.6618921,,
348144,695782,GA,Columbia,125,12,24,127,3,17,190,502,1223.8828,468.3839865,,
348145,650558,GA,Columbia,130,12,24,131,,21,164,407,1439.8849,449.4650342,,
1701162,670411,GA,Columbia,131,12,24,131,13,29,227,350,1927.7599,542.8951879,,
348147,660762,GA,Columbia,132,12,24,131,6,17,154,308,1495.3645,435.4924861,,
348148,677491,GA,Columbia,134,12,24,131,6,23,208,362,1330.8374,464.158869,,
348149,715740,GA,Columbia,135,12,24,127,3,12,162,250,1365.4684,393.3750353,,
348150,702856,GA,Columbia,136,12,24,131,9,31,328,835,2242.5223,830.3510726,,
348151,679620,GA,Columbia,137,12,24,131,9,29,185,378,1398.753,457.5681033,,
348178,702847,GA,Cook,C,8,11,172,4,12,142,380,951.9134,352.0155003,,
348179,682684,GA,Cook,Db,8,11,170,1,10,196,363,1414.1926,340.4073826,,
348180,717396,GA,Cook,Ep,8,11,172,1,8,44,198,205.9224,163.9165584,,
348181,680362,GA,Cook,L,8,11,170,,2,67,132,731.4906,154.2701911,,
348182,694134,GA,Cook,M,8,11,170,1,5,52,97,530.5171,113.6768095,,
348183,614090,GA,Cook,Nl,8,11,172,,,61,64,746.1061,117.1533723,,
348184,586443,GA,Cook,Rb,8,11,172,1,1,61,87,789.1353,120.821586,,
348185,694129,GA,Cook,S,8,11,172,,5,93,352,422.6225,219.5858414,,
348186,650475,GA,Coweta,1,3,6,136,10,53,419,710,4732.3743,1239.316807,,
348197,710785,GA,Coweta,2,3,6,136,3,12,143,232,2080.0833,449.6104712,,
348207,715750,GA,Coweta,3,3,6,136,2,12,124,191,1601.5769,341.0443403,,
348208,630786,GA,Coweta,4,3,6,70,,7,48,63,589.936,128.0726167,,
348209,650566,GA,Coweta,5,3,6,70,14,38,302,1067,1682.4103,899.0055766,,
348210,594550,GA,Coweta,6,3,6,73,5,28,235,428,3205.9002,789.0987371,,
348213,660803,GA,Coweta,9,3,6,136,2,15,210,459,1455.3176,483.6696977,,
348187,680383,GA,Coweta,10,3,6,136,,7,132,229,1682.2314,382.2030932,,
348188,637005,GA,Coweta,11,3,6,70,5,15,184,337,2109.7066,495.1607707,,
348189,640765,GA,Coweta,12,3,6,70,4,18,197,405,1841.2796,513.3038626,,
348190,592452,GA,Coweta,13,3,6,70,6,23,173,371,1978.2959,536.1954618,,
348191,650494,GA,Coweta,14,3,6,136,9,41,389,613,3851.022,1014.251531,,
348192,636982,GA,Coweta,15,3,6,70,3,18,201,698,1419.9276,615.9391515,,
348194,616230,GA,Coweta,17,3,6,70,12,67,544,1668,2186.7919,1249.40438,,
348195,717423,GA,Coweta,18,3,6,73,61,294,2203,5272,12551.1471,5429.637557,,
348196,654824,GA,Coweta,19,3,6,70,8,33,241,635,1744.6383,662.438485,,
348198,721749,GA,Coweta,20,3,6,70,3,14,144,284,1287.7377,352.9575241,,
348199,636991,GA,Coweta,21,3,6,73,8,56,334,594,2880.0218,932.9653845,,
348200,689763,GA,Coweta,22,3,6,65,35,135,815,1503,7523.3099,2415.040383,,
348201,650466,GA,Coweta,23,3,6,67,14,86,472,761,5409.1049,1535.132743,,
348202,618414,GA,Coweta,24,3,6,70,1,8,84,355,497.7912,304.0453799,,
348203,684362,GA,Coweta,25,3,6,70,4,23,183,370,1547.9147,515.4043714,,
348204,614088,GA,Coweta,26,3,6,67,12,39,281,462,3284.65,912.3525949,,
348205,652681,GA,Coweta,27,3,6,73,2,21,98,173,1398.7687,372.2568131,,
2155296,1113532,GA,Crawford,1,2,18,134,,9,127,494,985.7116,495.4357203,,
348216,673717,GA,Crawford,2,2,18,134,,5,126,281,1116.3612,334.218032,,
348217,665737,GA,Crawford,3,2,18,134,1,5,76,81,909.2355,147.6441031,,
348218,632906,GA,Crawford,4,2,18,134,1,7,75,84,1103.6996,184.5125088,,
348219,670397,GA,Crawford,5,2,18,134,,6,46,71,975.3744,163.2829468,,
348220,833637,GA,Crisp,Arabi,8,13,148,,2,42,99,467.0917,117.6456589,,
348221,833430,GA,Crisp,Coney,8,13,148,1,5,43,39,666.5319,112.8834187,,
348222,636993,GA,Crisp,Corde,8,13,148,12,92,536,2482,3977.7871,1899.027297,,
348224,620525,GA,Crisp,James,8,13,148,,1,54,47,867.0574,145.9749343,,
348225,652738,GA,Crisp,Listo,8,13,148,,2,16,20,511.3625,69.44225114,,
348226,630790,GA,Dade,1038,14,53,1,,3,36,33,573.7439,89.76828086,,
348227,636956,GA,Dade,1214,14,53,1,2,11,52,55,881.7738,164.9133765,,
348228,640736,GA,Dade,1222,14,53,1,4,5,85,61,1184.0425,184.4336531,,
348229,626503,GA,Dade,1885,14,53,1,,1,33,21,430.3726,75.12907491,,
348230,592439,GA,Dade,1889,14,53,1,,3,45,39,753.7555,134.9454116,,
348231,616280,GA,Dade,960,14,53,1,2,13,94,73,1601.5861,245.1520448,,
348232,594608,GA,Dade,974,14,53,1,,7,83,88,1032.1093,202.8397593,,
1701163,717424,GA,Dawson,1,7,51,9,10,46,217,238,4237.2569,675.3848622,,
1701164,694141,GA,Dawson,2,7,51,9,7,21,202,246,3542.0885,581.7530516,,
1701165,677495,GA,Dawson,3,7,51,9,10,30,255,274,4385.2998,756.749675,,
2341800,1144001,GA,Dawson,4,7,51,9,8,33,323,497,3765.7526,744.4658722,,
348255,677450,GA,DeKalb,Aa,4,41,86,24,97,133,1134,1464.7592,1281.746211,,
348256,679630,GA,DeKalb,Ab,5,40,83,21,77,577,665,1803.6301,1127.186976,,
348258,644651,GA,DeKalb,Ad,4,40,80,28,92,592,508,2011.8217,1148.719892,,
348259,648442,GA,DeKalb,Ae,5,10,85,85,306,348,788,2523.1964,2100.36076,,
810108,465200,GA,DeKalb,Af,4,41,84,12,96,97,1288,1621.2772,1479.361388,,
348260,668744,GA,DeKalb,Ag,4,40,52,27,107,645,833,2226.6939,1414.298568,,
911192,833533,GA,DeKalb,Ah,4,40,52,33,133,745,1229,2278.4594,1537.374652,,
1179253,614092,GA,DeKalb,Ai,5,10,84,78,274,188,926,2186.6589,1932.589852,,
348263,652708,GA,DeKalb,Bb,5,44,89,132,422,317,1621,3309.8333,2950.669496,,
348264,626524,GA,DeKalb,Bc,5,41,101,34,133,306,1274,1749.7852,1465.866666,,
348265,636966,GA,DeKalb,Bd,5,41,101,20,79,279,463,1311.2273,950.8789206,,
348266,618411,GA,DeKalb,Be,5,41,83,12,70,483,1047,1440.6036,1041.343548,,
348267,650472,GA,DeKalb,Bf,4,55,87,22,94,299,846,1574.399,1180.861547,,
348268,592422,GA,DeKalb,Bg,5,41,101,39,121,536,1221,1957.1655,1479.434211,,
348269,710828,GA,DeKalb,Bh,4,41,87,28,125,233,909,1626.9258,1242.981886,,
348270,689751,GA,DeKalb,Bi,5,40,83,27,97,773,1084,2154.0706,1456.292881,,
348271,614065,GA,DeKalb,Bj,4,10,115,27,162,65,1290,2146.8101,2006.644784,,
810111,594595,GA,DeKalb,Bl,5,44,90,11,60,44,699,1099.4174,1018.57426,,
348272,710784,GA,DeKalb,Bm,4,41,84,30,165,126,1651,2068.8694,1885.104804,,
348273,717420,GA,DeKalb,Br,5,44,90,80,293,230,1235,2352.7951,2108.720046,,
348274,648448,GA,DeKalb,Ca,4,10,84,12,47,44,673,990.0525,908.3517229,,
348275,652728,GA,DeKalb,Cb,4,10,84,10,64,70,720,939.0027,846.4193362,,
348276,650482,GA,DeKalb,Cc,4,10,89,8,29,22,321,442.919,407.2238209,,
348277,620534,GA,DeKalb,Cd,4,44,116,26,141,74,1332,2078.5838,1932.43682,,
348278,668730,GA,DeKalb,Ce,4,40,83,13,102,429,1176,1634.711,1206.472646,,
810113,695797,GA,DeKalb,Cf,4,10,91,15,111,102,1717,2062.2492,1851.386258,,
348279,654820,GA,DeKalb,Cg,4,10,115,17,107,79,1076,1724.3646,1591.939035,,
348280,650564,GA,DeKalb,Ch,4,40,80,20,79,242,797,1227.832,939.0424859,,
348281,636916,GA,DeKalb,Ci,5,44,84,102,334,233,997,2627.825,2291.028171,,
348282,717390,GA,DeKalb,Cj,5,10,86,61,198,268,1295,1954.2126,1647.120616,,
348283,616292,GA,DeKalb,Ck,4,41,86,18,83,130,1422,1222.8212,1082.454461,,
348284,640754,GA,DeKalb,Cl,4,44,90,5,39,33,615,846.8246,777.5640423,,
348285,657079,GA,DeKalb,Cm,4,10,89,11,55,30,642,797.1815,739.81452,,
810114,618423,GA,DeKalb,Cn,5,44,90,89,330,247,1530,2547.4176,2281.190756,,
348286,657108,GA,DeKalb,Co,5,41,83,25,87,379,974,1399.0262,1031.649785,,
348287,654813,GA,DeKalb,Cp,4,41,86,14,84,66,983,1422.04,1306.006661,,
348288,656997,GA,DeKalb,Cq,5,10,89,34,143,172,1170,1599.1484,1428.755822,,
348289,656976,GA,DeKalb,Cr,4,44,90,7,44,22,610,734.3887,675.6840503,,
348290,657099,GA,DeKalb,Cs,13,44,116,16,125,73,1459,2237.0097,2084.632448,,
348291,668741,GA,DeKalb,Ct,4,41,85,4,10,8,141,136.2327,124.5788007,,
348292,418926,GA,DeKalb,Cu,5,10,85,24,120,108,877,1093.4483,970.2118107,,
348293,721761,GA,DeKalb,Cv,5,44,84,127,347,249,964,2394.0736,2070.594997,,
348294,695819,GA,DeKalb,Cw,5,10,86,64,219,491,999,2444.6546,1936.30409,,
1811001,990208,GA,DeKalb,Cx,5,44,90,184,498,276,1187,3285.2808,2898.116016,,
1996018,1073338,GA,DeKalb,Cy,4,41,85,15,75,143,985,1020.1105,879.9865801,,
1854546,1000459,GA,DeKalb,Cz,4,40,83,24,103,661,1205,2096.7199,1468.031695,,
348295,594552,GA,DeKalb,Da,4,40,80,16,90,380,1514,1460.3584,1113.037827,,
348296,657011,GA,DeKalb,Db,4,40,80,6,34,141,445,682.0595,519.2423831,,
348297,648441,GA,DeKalb,Dc,4,40,83,14,121,616,1908,2452.7962,1868.128706,,
1996020,1073339,GA,DeKalb,Dd,5,44,89,83,226,104,568,1488.0005,1339.865104,,
348298,677443,GA,DeKalb,De,4,41,85,16,70,77,829,1110.4916,977.463801,,
348299,656972,GA,DeKalb,Df,4,40,52,32,118,599,1354,1884.0629,1363.559963,,
348300,586452,GA,DeKalb,Dg,4,40,80,32,92,457,465,1585.7106,982.2359807,,
348301,715743,GA,DeKalb,Dh,5,44,89,54,202,198,1388,1629.3765,1382.914044,,
348302,668720,GA,DeKalb,Di,4,40,80,27,82,561,528,1978.9434,1089.450227,,
348303,650503,GA,DeKalb,Ea,5,44,89,73,311,222,1373,2739.487,2439.003987,,
348305,586472,GA,DeKalb,Ec,4,40,87,23,74,244,507,1111.1981,811.8222392,,
348307,592466,GA,DeKalb,Ef,4,40,87,38,126,411,1017,2032.2783,1492.69456,,
348308,657008,GA,DeKalb,Eg,5,44,90,58,179,338,1303,1945.9649,1627.133017,,
348309,630793,GA,DeKalb,Er,5,44,89,30,82,91,1677,1002.8172,868.3093278,,
348310,684370,GA,DeKalb,Fa,4,41,91,14,101,66,1667,1809.2861,1674.507299,,
348311,689787,GA,DeKalb,Fb,5,44,89,79,233,271,546,1709.823,1420.01965,,
348312,652713,GA,DeKalb,Fc,4,44,90,12,57,56,706,981.4794,903.8227913,,
348314,626521,GA,DeKalb,Fe,4,10,115,23,150,77,1018,1853.5581,1723.280504,,
810122,640803,GA,DeKalb,Fg,4,10,91,19,118,83,1267,1777.4358,1641.44675,,
348315,620509,GA,DeKalb,Fj,4,44,90,9,52,49,678,925.7429,855.7397579,,
348316,632926,GA,DeKalb,Fk,13,10,115,7,54,40,715,1014.3414,941.6083904,,
348317,650565,GA,DeKalb,Fl,4,10,116,11,57,62,886,1036.2838,946.4001544,,
348318,677511,GA,DeKalb,Fm,4,41,87,13,100,94,976,1323.333,1180.91882,,
348319,614079,GA,DeKalb,Ga,5,44,84,72,265,189,1161,2033.9389,1789.464209,,
348320,709118,GA,DeKalb,Gb,4,41,85,7,34,72,731,849.953,755.7273599,,
348321,630820,GA,DeKalb,Gc,5,44,90,28,143,139,1156,1751.5769,1595.543054,,
348322,656974,GA,DeKalb,Gd,4,40,52,19,89,672,1700,2261.6019,1628.422432,,
1572183,922976,GA,DeKalb,Gf,4,41,85,9,60,72,755,925.6968,837.2435387,,
348324,652730,GA,DeKalb,Ha,4,41,87,22,90,160,1526,1691.7806,1475.232072,,
348325,710830,GA,DeKalb,Hb,4,40,101,33,138,382,1202,2028.3255,1589.124128,,
348326,592438,GA,DeKalb,Hc,4,40,101,34,126,398,997,1935.3458,1468.167822,,
348329,650481,GA,DeKalb,Hf,4,40,80,19,73,404,1309,1793.7206,1402.318513,,
348330,654814,GA,DeKalb,Hg,4,55,88,37,101,204,452,1302.6573,918.6092606,,
810126,668707,GA,DeKalb,Hh,13,10,116,23,130,57,1300,2025.6243,1892.115725,,
810127,592476,GA,DeKalb,Hi,5,41,101,8,49,113,692,824.6739,696.2474144,,
348331,695814,GA,DeKalb,Ia,4,41,87,20,81,172,1046,1229.6589,1016.38502,,
348332,663536,GA,DeKalb,Ib,4,41,85,14,62,162,907,804.4532,685.0346131,,
348334,660761,GA,DeKalb,Ja,5,44,90,48,142,245,514,1202.4026,959.9376496,,
348335,594603,GA,DeKalb,Jb,4,41,86,11,100,244,1528,1601.0869,1344.228966,,
348337,704528,GA,DeKalb,Ka,4,44,89,17,78,70,949,1333.3807,1219.522545,,
348338,650539,GA,DeKalb,Kb,4,40,80,26,92,470,448,1910.1858,1110.678158,,
348339,679649,GA,DeKalb,Kc,4,10,115,10,70,42,408,729.3231,668.2895725,,
348340,636918,GA,DeKalb,Ke,5,10,84,17,102,99,806,1235.355,1118.308771,,
1771372,976466,GA,DeKalb,Kg,4,40,52,32,108,488,508,1689.9861,1092.998734,,
348342,660790,GA,DeKalb,La,5,41,101,52,172,513,820,2299.8182,1692.413272,,
348343,640825,GA,DeKalb,Lb,5,10,86,36,129,321,881,1483.5724,1174.368865,,
810136,657093,GA,DeKalb,Lc,5,41,101,29,118,307,1389,1553.4318,1263.46943,,
348344,668728,GA,DeKalb,Ld,4,43,93,6,31,34,566,599.0353,540.0896624,,
810137,663533,GA,DeKalb,Le,5,44,90,90,259,253,1109,2096.6351,1815.09825,,
348345,663551,GA,DeKalb,Lh,4,55,94,10,78,71,1247,1440.6702,1325.195706,,
348346,833419,GA,DeKalb,Lv,4,55,87,17,57,206,332,906.1422,638.5800797,,
348347,677475,GA,DeKalb,Ma,4,41,87,19,95,74,1081,1485.7481,1358.368434,,
348348,352312,GA,DeKalb,Mb,5,44,90,54,221,222,1444,2416.2926,2188.776489,,
348349,648403,GA,DeKalb,Mc,4,55,93,23,86,51,1546,1729.4194,1601.400415,,
348350,367990,GA,DeKalb,Md,5,44,89,17,83,96,1023,1394.0006,1266.109253,,
348351,663559,GA,DeKalb,Me,5,10,85,48,171,262,1197,2040.7642,1723.865438,,
348352,657053,GA,DeKalb,Mf,4,41,91,15,105,55,864,1364.2556,1267.320235,,
348353,694150,GA,DeKalb,Mg,5,10,85,53,180,222,844,1796.6166,1527.534579,,
348354,702842,GA,DeKalb,Mh,4,55,87,19,107,422,692,2062.5328,1406.388591,,
348355,689765,GA,DeKalb,Mi,4,41,84,15,111,113,1763,1774.9657,1618.319308,,
348356,677481,GA,DeKalb,Mj,5,41,83,9,48,79,794,710.4539,619.5781203,,
348357,614094,GA,DeKalb,Mk,4,41,86,25,99,200,1008,1505.4948,1239.545414,,
348358,677444,GA,DeKalb,Ml,5,44,90,8,97,83,1050,1614.6226,1486.285885,,
348360,620502,GA,DeKalb,Mn,4,41,86,13,65,63,984,926.3873,823.4589109,,
348361,592448,GA,DeKalb,Mo,5,10,84,23,95,107,896,1254.388,1126.67358,,
348362,636970,GA,DeKalb,Mp,5,44,89,41,115,75,599,1023.1786,933.0590162,,
348363,668708,GA,DeKalb,Mq,4,40,80,24,90,597,531,2041.6497,1219.272097,,
348364,650552,GA,DeKalb,Mr,4,10,89,27,101,73,930,1618.7615,1490.169547,,
348365,586420,GA,DeKalb,Ms,4,40,80,31,85,527,645,1732.9474,1129.080219,,
348366,592464,GA,DeKalb,Mt,5,44,90,56,218,174,1171,2191.4965,1972.52815,,
348367,636967,GA,DeKalb,Mu,4,40,52,18,93,513,700,1865.3312,1229.821103,,
348368,710755,GA,DeKalb,Mv,4,10,91,16,78,66,654,1190.6152,1091.500505,,
348369,642994,GA,DeKalb,Mw,4,40,87,14,71,108,632,920.5492,762.2481755,,
810139,586481,GA,DeKalb,Mz,4,55,93,15,101,47,1080,1287.7625,1193.528277,,
348373,637004,GA,DeKalb,Nb,5,10,85,16,82,105,787,1015.7694,886.7823682,,
348374,694163,GA,DeKalb,Nc,4,55,87,18,85,87,879,1025.2594,905.9338095,,
348375,721741,GA,DeKalb,Nd,5,41,86,19,89,224,421,1093.2808,853.1782521,,
348376,628674,GA,DeKalb,Nf,4,40,80,10,40,215,604,898.1973,648.7600226,,
348378,616254,GA,DeKalb,Oa,5,41,101,35,114,446,735,1689.6026,1266.624417,,
348379,652726,GA,DeKalb,Ob,4,40,80,8,21,214,853,806.4519,615.3554564,,
348380,668743,GA,DeKalb,Ok,5,44,89,103,273,140,767,1934.0397,1733.258958,,
348381,618430,GA,DeKalb,Ov,4,10,116,26,143,83,1565,2187.9022,2031.817507,,
348382,721740,GA,DeKalb,Pa,4,10,84,15,83,113,742,1017.7187,903.6866807,,
348383,640822,GA,DeKalb,Pb,4,40,80,21,119,388,1331,1844.3463,1399.986311,,
810145,684340,GA,DeKalb,Pc,4,55,94,13,71,39,830,1199.7967,1107.333867,,
348384,620526,GA,DeKalb,Pe,4,41,87,19,66,39,212,381.1918,333.1121152,,
348385,660824,GA,DeKalb,Pf,4,40,101,13,79,249,1429,1448.4564,1189.435458,,
348386,680380,GA,DeKalb,Pg,5,44,89,104,243,255,1629,2317.4507,2029.300108,,
348387,654850,GA,DeKalb,Ph,4,41,88,14,62,47,519,779.2433,702.623783,,
348388,618434,GA,DeKalb,Pi,4,41,85,4,40,41,732,826.8221,759.0818991,,
348390,614077,GA,DeKalb,Pn,5,44,90,19,70,73,424,677.4278,608.4184184,,
348391,640815,GA,DeKalb,Pr,4,55,93,19,97,62,1027,1440.1023,1338.82953,,
348392,657046,GA,DeKalb,Ra,4,10,89,22,128,75,1153,1861.6095,1722.977135,,
348393,663538,GA,DeKalb,Rc,4,55,88,18,103,56,1096,1556.5444,1446.68179,,
348394,660749,GA,DeKalb,Rd,5,41,86,9,26,123,235,541.7165,404.4793518,,
348395,616228,GA,DeKalb,Re,4,41,87,20,79,94,1186,1238.1289,1098.508301,,
348396,657081,GA,DeKalb,Rf,4,55,95,17,90,71,1262,1479.8836,1349.26214,,
348397,657068,GA,DeKalb,Rg,4,41,85,6,53,45,616,802.6688,718.8869693,,
348398,663542,GA,DeKalb,Rh,4,55,94,17,97,84,1471,1903.481,1764.191878,,
348399,657113,GA,DeKalb,Ri,4,55,94,42,194,98,1415,2294.946,2112.257997,,
348400,652697,GA,DeKalb,Rj,4,41,86,13,80,63,740,1035.0651,935.3950857,,
348401,673720,GA,DeKalb,Rk,4,55,88,13,70,74,1025,1258.0451,1145.694227,,
348402,628669,GA,DeKalb,Rl,4,43,95,24,139,125,2000,2532.9474,2281.938587,,
348403,652677,GA,DeKalb,Rm,4,41,88,10,82,66,889,1251.987,1142.644459,,
348405,640733,GA,DeKalb,Sa,5,41,101,53,179,552,742,2353.148,1808.026845,,
348406,586427,GA,DeKalb,Sb,5,10,84,49,172,188,811,1712.9648,1474.213734,,
348407,680393,GA,DeKalb,Sc,5,10,85,39,154,148,1125,1695.9436,1509.704883,,
810150,630802,GA,DeKalb,Sd,4,55,88,10,52,109,782,967.397,820.6344158,,
348408,660792,GA,DeKalb,Se,5,40,83,40,152,1107,1853,2945.7563,1957.930273,,
348409,660718,GA,DeKalb,Sf,5,40,83,24,77,526,704,1454.1063,950.8996191,,
348410,630799,GA,DeKalb,Sg,4,10,84,12,84,60,561,1044.8025,964.8297697,,
348411,648419,GA,DeKalb,Sh,4,55,88,25,92,229,481,1567.972,1095.882436,,
810151,682717,GA,DeKalb,Si,4,55,88,7,68,85,1083,946.7537,826.4779753,,
348412,694173,GA,DeKalb,Sj,4,55,88,4,41,83,1136,963.9133,861.7258539,,
348413,606258,GA,DeKalb,Sk,4,55,88,38,203,78,1390,2393.442,2225.778284,,
348414,626470,GA,DeKalb,Sl,4,43,93,7,41,49,838,830.42,749.6847569,,
348415,642988,GA,DeKalb,Sm,4,10,115,35,173,113,1504,2321.8479,2139.089231,,
348416,680371,GA,DeKalb,Sn,5,10,86,36,101,187,489,1169.1838,972.6925022,,
348417,606278,GA,DeKalb,So,4,55,95,23,111,72,1248,1598.9584,1473.756766,,
348418,704512,GA,DeKalb,Sp,4,55,88,10,78,105,1073,1264.1649,1113.882468,,
348419,626459,GA,DeKalb,Sq,4,55,88,17,55,88,623,775.0071,637.4913386,,
348420,656971,GA,DeKalb,Sr,4,10,84,13,54,81,962,1105.5059,990.8492211,,
348421,657103,GA,DeKalb,Ss,4,10,91,17,86,38,634,1076.5348,993.6746763,,
348422,710780,GA,DeKalb,St,4,55,94,15,136,105,1505,1985.4289,1799.637051,,
348423,616235,GA,DeKalb,Su,4,41,87,24,93,67,1106,1527.5124,1399.908964,,
348424,710795,GA,DeKalb,Sv,4,55,88,22,121,108,1357,1871.0202,1705.376246,,
1986595,1071357,GA,DeKalb,Sw,4,43,91,24,151,72,1635,2127.1833,1966.93261,,
1992256,1073042,GA,DeKalb,Sy,13,10,115,35,216,94,1835,3100.8848,2892.77043,,
348425,594587,GA,DeKalb,Ta,5,44,90,27,127,143,1265,1675.9492,1506.782029,,
348427,618427,GA,DeKalb,Tc,4,10,89,8,51,41,578,782.3588,713.9384925,,
348428,628665,GA,DeKalb,Tf,4,55,88,41,137,485,1146,2439.9086,1756.76423,,
348429,677439,GA,DeKalb,Tg,4,40,80,20,54,318,396,1178.7909,739.4259247,,
348430,586419,GA,DeKalb,Th,4,55,87,33,126,320,1010,1862.9308,1427.393763,,
348431,606256,GA,DeKalb,Vb,5,41,85,29,120,245,694,1435.0627,1140.022748,,
348432,695805,GA,DeKalb,Wa,4,10,89,11,79,85,1006,1422.2804,1304.707227,,
348433,630806,GA,DeKalb,Wb,4,10,115,29,137,99,961,1691.336,1549.083883,,
348434,632945,GA,DeKalb,Wd,4,55,91,17,80,55,1179,1417.3605,1297.708179,,
348436,640804,GA,DeKalb,Wf,5,44,84,71,246,120,559,1656.6154,1485.051648,,
348437,586440,GA,DeKalb,Wg,4,41,86,13,106,80,1281,1657.0056,1520.637706,,
348438,665726,GA,DeKalb,Wi,4,40,101,7,38,140,450,673.0501,516.50897,,
348439,715730,GA,DeKalb,Wj,5,41,83,19,125,217,1326,1504.1395,1241.941188,,
348440,654843,GA,DeKalb,Wk,4,41,86,12,55,55,926,1035.5912,948.9970228,,
348441,648430,GA,DeKalb,Wl,4,40,80,10,53,242,340,1012.1264,659.6585281,,
348442,650554,GA,DeKalb,Wn,4,55,94,44,192,144,1337,2479.4724,2097.953145,,
810158,650518,GA,DeKalb,Ya,4,41,85,11,68,40,599,1008.9743,934.5468654,,
1701166,677456,GA,Decatur,1277,2,11,171,,3,31,41,373.711,65.71541319,,
348244,620557,GA,Decatur,1325,2,11,171,,,57,65,460.0265,96.2755265,,
348245,616245,GA,Decatur,1342,2,11,171,,1,58,80,343.6907,93.44512252,,
348246,657107,GA,Decatur,1361,2,11,171,,6,68,128,632.5142,147.7765217,,
348248,626460,GA,Decatur,1613,2,11,171,,14,83,112,527.5472,133.9314062,,
348250,689768,GA,Decatur,1805,2,11,171,2,66,201,596,1065.6973,455.3907504,,
348251,626494,GA,Decatur,513,2,11,171,4,59,223,624,936.4804,435.2519288,,
348252,689777,GA,Decatur,514,2,11,171,1,82,321,909,1547.5488,705.212014,,
