ID,,Geography,,,Districts,,,MyCampaign,,DVC Universe,,Expected Vote,,Turf Assignment,
VAN Precinct ID,DNC Precinct ID,State,County,Precinct Name,CD,SD,HD,Historic Vols,Total MyC,Mid Support DVC,High Support DVC,Exp Vote,Exp Dem,Region,Organizer
347460,660781,GA,Bartow,18,11,52,15,1,11,109,210,1062.8866,261.6969793,,
347469,660769,GA,Ben Hill,1,8,13,156,8,47,826,1861,5269.7699,1813.456247,,
1179252,640816,GA,Berrien,11062,8,13,170,,1,34,26,669.8712,67.0959829,,
347474,660818,GA,Berrien,1144,8,13,170,,3,71,102,1051.0873,165.4915258,,
347476,648416,GA,Berrien,1157,8,13,170,2,8,258,365,3437.4693,520.5493351,,
347479,679617,GA,Berrien,1642,8,13,170,,3,38,54,573.2892,79.28885592,,
347482,632907,GA,Berrien,518,8,13,170,,9,87,124,700.5762,157.1846963,,
347483,620541,GA,Bibb,Em1,2,26,149,,19,59,954,662.3008,573.3457348,,
347484,642978,GA,Bibb,Em2,2,26,149,6,33,111,1831,1661.899,1441.90149,,
347485,721724,GA,Bibb,Em3,2,25,142,17,78,263,1301,1635.7068,1124.77116,,
347486,721745,GA,Bibb,Em4,2,26,149,5,36,87,998,994.4799,863.9003207,,
347487,721725,GA,Bibb,Em5,2,26,143,3,27,178,1088,1309.7527,976.5184978,,
347489,586398,GA,Bibb,Gf1,2,26,142,15,91,258,2862,2231.8558,1881.522645,,
347490,592434,GA,Bibb,Gf2,2,26,143,1,11,108,923,657.5522,535.4974911,,
347491,677488,GA,Bibb,Gf3,2,26,145,13,40,121,1403,1197.9206,1019.94088,,
347492,652663,GA,Bibb,Gf4,2,26,143,6,11,88,827,649.3611,527.6510992,,
347493,677484,GA,Bibb,Gf5,2,26,145,3,39,178,2249,1911.2388,1602.96635,,
347496,717392,GA,Bibb,Ha1,2,26,145,4,34,116,1550,1354.9036,1142.754708,,
347497,684374,GA,Bibb,Ha2,8,18,142,9,44,407,1515,2167.2636,1248.044973,,
347498,689784,GA,Bibb,Ha3,2,26,145,15,131,544,2935,3608.2506,2632.495218,,
347499,650550,GA,Bibb,Ha4,8,18,145,6,72,438,1177,3255.6845,1474.187751,,
347503,717404,GA,Bibb,Ho1,8,18,142,10,62,318,620,2276.3991,892.3138107,,
347504,677466,GA,Bibb,Ho2,8,18,142,10,47,329,798,2325.9064,969.9528564,,
347505,618406,GA,Bibb,Ho3,8,18,144,18,105,676,1813,3500.4036,1808.959843,,
347506,946317,GA,Bibb,Ho4,8,25,142,3,26,175,619,962.8158,538.1110632,,
347507,618412,GA,Bibb,Ho5,8,25,142,9,29,194,916,1098.4184,709.5463809,,
347508,657042,GA,Bibb,Ho6,8,25,142,7,31,238,544,1246.6451,615.5441345,,
