van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,Comments,HDs,voters,supporters,,
2257700,Arlington,107 - Precinct 107,R01 - Inner Nova,R01G - Lee Heights,,1,3353,2785,,
2257739,Arlington,137 - Precinct 137,R01 - Inner Nova,R01G - Lee Heights,,1,2845,2272,,
2257752,Arlington,111 - Precinct 111,R01 - Inner Nova,R01G - Lee Heights,,1,2312,1817,,
2257750,Arlington,131 - Precinct 131,R01 - Inner Nova,R01G - Lee Heights,,1,3105,2607,,
2257735,Arlington,133 - Precinct 133,R01 - Inner Nova,R01G - Lee Heights,,1,3225,2504,,
2257751,Arlington,135 - Precinct 135,R01 - Inner Nova,R01G - Lee Heights,,1,3458,2572,,
2334683,Alexandria (City),310 - Del Pepper Center,R01 - Inner Nova,R01H - Shirlington,,4,3155,2552,,
297106,Alexandria (City),206 - Alexandria City High School,R01 - Inner Nova,R01H - Shirlington,,3,3610,2881,,
297113,Alexandria (City),305 - John Adams School,R01 - Inner Nova,R01H - Shirlington,,4,3449,2806,,
2228451,Alexandria (City),210 - F.T. Day School,R01 - Inner Nova,R01H - Shirlington,,4,2714,2145,,
2257712,Arlington,122 - Precinct 122,R01 - Inner Nova,R01H - Shirlington,,3,3118,2531,,
2257721,Arlington,128 - Precinct 128,R01 - Inner Nova,R01H - Shirlington,,3,4209,3561,,
297108,Alexandria (City),208 - Nova Arts Center,R01 - Inner Nova,R01H - Shirlington,,4,3423,2753,,
2257693,Arlington,112 - Precinct 112,R01 - Inner Nova,R01H - Shirlington,,3,2784,2266,,
2257745,Arlington,142 - Precinct 142,R01 - Inner Nova,R01H - Shirlington,,3,3002,2399,,
2334682,Alexandria (City),212 - The View Alexandria,R01 - Inner Nova,R01H - Shirlington,,4,2018,1636,,
1992185,Alexandria (City),211 - Alex Renew,R01 - Inner Nova,R01I - Westend Alexandria,,5,4090,3057,,
297114,Alexandria (City),306 - William Ramsay School,R01 - Inner Nova,R01I - Westend Alexandria,,4,3021,2612,,
297111,Alexandria (City),303 - Charles E Beatley Library,R01 - Inner Nova,R01I - Westend Alexandria,,4,3518,2915,,
2228501,Fairfax,860 - Sandy Run,R01 - Inner Nova,R01I - Westend Alexandria,,15,1282,602,,
331417,Alexandria (City),308 - Cameron Station Community Ctr,R01 - Inner Nova,R01I - Westend Alexandria,,5,4000,3089,,
297115,Alexandria (City),307 - Tucker West,R01 - Inner Nova,R01I - Westend Alexandria,,4,3783,3091,,
295978,Fairfax,135 - Irving,R01 - Inner Nova,R01I - Westend Alexandria,,18,2851,1750,,
297107,Alexandria (City),207 - Temple Beth El Synagogue,R01 - Inner Nova,R01I - Westend Alexandria,,5,4247,3329,,
295941,Fairfax,855 - Saratoga,R01 - Inner Nova,R01I - Westend Alexandria,,18,3994,2629,,
1992184,Alexandria (City),309 - Olympus Condo,R01 - Inner Nova,R01I - Westend Alexandria,,4,2813,2389,,
297109,Alexandria (City),209 - James K Polk School,R01 - Inner Nova,R01I - Westend Alexandria,,4,4449,3701,,
297112,Alexandria (City),304 - Tucker School,R01 - Inner Nova,R01I - Westend Alexandria,,5,4294,3544,,
2228438,Fairfax,432 - Edison #2,R01 - Inner Nova,R01I - Westend Alexandria,,17,3794,2817,,
295982,Fairfax,431 - West Springfield,R01 - Inner Nova,R01I - Westend Alexandria,,18,3273,2078,,
2228476,Fairfax,861 - Burke #2,R01 - Inner Nova,R01I - Westend Alexandria,,15,2463,1557,,
297110,Alexandria (City),302 - Patrick Henry Rec Center,R01 - Inner Nova,R01I - Westend Alexandria,,5,3700,3042,,
2228455,Fairfax,858 - Clifton Town,R01 - Inner Nova,R01I - Westend Alexandria,,10,207,104,,
2228454,Fairfax,433 - Lynbrook #2,R01 - Inner Nova,R01I - Westend Alexandria,,18,199,142,,
295896,Fairfax,508 - Masonville,R02 - Fairfax,R02A - Annandale,,14,2320,1536,,
295902,Fairfax,516 - Weyanoke,R02 - Fairfax,R02A - Annandale,,14,3729,2716,,
295891,Fairfax,503 - Belvedere,R02 - Fairfax,R02A - Annandale,,13,1840,1336,,
295895,Fairfax,507 - Lincolnia,R02 - Fairfax,R02A - Annandale,,14,3947,2964,,
295889,Fairfax,501 - Baileys,R02 - Fairfax,R02A - Annandale,,4,4119,3239,,
295899,Fairfax,512 - Sleepy Hollow,R02 - Fairfax,R02A - Annandale,,13,3436,2474,,
295792,Fairfax,104 - Chapel,R02 - Fairfax,R02A - Annandale,,14,2572,1611,,
295909,Fairfax,523 - Poe,R02 - Fairfax,R02A - Annandale,,14,3114,2169,,
295908,Fairfax,522 - Camelot,R02 - Fairfax,R02A - Annandale,,14,2195,1366,,
295794,Fairfax,106 - Heritage,R02 - Fairfax,R02A - Annandale,,14,4374,3119,,
295893,Fairfax,506 - Holmes,R02 - Fairfax,R02A - Annandale,,4,874,679,,
295903,Fairfax,517 - Willston,R02 - Fairfax,R02A - Annandale,,4,2142,1671,,
295957,Fairfax,536 - Woodburn,R02 - Fairfax,R02A - Annandale,,14,3641,2482,,
295904,Fairfax,518 - Columbia,R02 - Fairfax,R02A - Annandale,,14,3156,2113,,
295898,Fairfax,511 - Ravenwood,R02 - Fairfax,R02A - Annandale,,13,1890,1350,,
295912,Fairfax,526 - Bren Mar,R02 - Fairfax,R02A - Annandale,,14,4353,3359,,
295890,Fairfax,502 - Barcroft,R02 - Fairfax,R02A - Annandale,,13,1501,1030,,
