van_precinct_id,van_precinct_name,county_name,Current Region,Current Turf,HDs,Zips,voters,supporters
296089,603 - Greenwood,Frederick,R12 - Shenandoah,R12E - Winchester,032,"22602, 22202, 22656",3733,1206
296107,402 - Sarahs Creek,Gloucester,R08 - Newport News,R08B - HD 69,069,"23062, 23072, 23061, 23235, 24153",2700,608
296135,201 - Ruckersville,Greene,R05 - Fredericksburg,R05E - West,062,"22923, 22968",3963,1385
296136,301 - Stanardsville,Greene,R05 - Fredericksburg,R05E - West,062,"22901, 22968, 22973",3804,910
296150,202 - Crossroads,Halifax,R13 - Southwest,R13C - The Hollers,050,"24577, 24558, 24534",771,222
296170,201 - Beaverdam,Hanover,R06 - North Richmond,R06E - North,059,"23015, 22546, 23024, 23047, 23005, 23059, 23192",3219,522
296182,407 - Old Church,Hanover,R06 - North Richmond,R06D - Mechanicsville,060,"23111, 23124",1976,354
296198,702 - Montpelier,Hanover,R06 - North Richmond,R06E - North,059,"23024, 23192, 23047",2898,740
296243,304 - Innsbrook,Henrico,R06 - North Richmond,R06B - HD 57,057,23060,2471,1529
296246,306 - Nuckols Farm,Henrico,R06 - North Richmond,R06B - HD 57,057,"23060, 23093, 23233, 23508",3922,1940
296252,113 - Springfield,Henrico,R06 - North Richmond,R06B - HD 57,057,"23233, 23224, 23230, 23060, 23146",3919,2237
296257,412 - Quioccasin,Henrico,R06 - North Richmond,R06G - West,058,"23233, 23238, 23227",3134,1865
296290,518 - Town Hall,Henrico,R07 - South Richmond,R07A - East,081,"23234, 23231",1069,470
296335,101 - Berkeley A,James City,R08 - Newport News,R08B - HD 69,069,23185,4744,1993
296346,502 - Roberts B,James City,R08 - Newport News,R08B - HD 69,069,"23185, 23435",4996,2136
296351,401 - Courthouse,King and Queen,R05 - Fredericksburg,R05A - East,068,"23161, 23023, 23177, 23085, 22437, 23091, 23108",1114,350
296398,208 - Algonkian,Loudoun,R03 - Loudoun,R03H - Sterling,028,20165,1957,1009
296419,409 - Clarkes Gap,Loudoun,R03 - Loudoun,R03C - HD 30,030,"20175, 20176, 20158, 20132, 20129, 20197, 20164",3485,1424
296429,216 - Lowes Island,Loudoun,R03 - Loudoun,R03H - Sterling,027,"20165, 22066, 22033",2899,1541
296435,705 - Forest Grove,Loudoun,R03 - Loudoun,R03H - Sterling,027,20164,3261,2023
296474,005 - Madison,Madison,R05 - Fredericksburg,R05E - West,062,"22727, 22731",2030,819
296649,502 - Pineville,Powhatan,R14 - Charlottesville,R14A - Central,072,"23139, 23160",1163,309
296709,407 - Heritage Hunt,Prince William,R03 - Loudoun,R03B - HD 21,021,"20169, 20155, 22153",4142,2068
296713,410 - Mountain View,Prince William,R03 - Loudoun,R03B - HD 21,021,"20169, 20136",4459,2132
296718,504 - Rockledge,Prince William,R04 - Prince William,R04F - Lake Ridge,025,"22312, 22192",2436,1507
296785,403 - North Vinton,Roanoke,R12 - Shenandoah,R12C - South Roanoke,039,24179,2832,624
296842,504 - South Fork,Rockingham,R12 - Shenandoah,R12A - Harrisonburg,034,"22840, 22827, 22821, 22849, 22802",1396,108
296861,202 - Weber City East,Scott,R13 - Southwest,R13B - Galax,045,"24251, 24290",1053,45
296943,603 - Chancellor High,Spotsylvania,R05 - Fredericksburg,R05D - SW,063,22407,2892,1256
296964,502 - Falmouth,Stafford,R05 - Fredericksburg,R05B - HD 65,065,"22405, 22556",3320,1416
297017,102 - Otterburn,Warren,R12 - Shenandoah,R12E - Winchester,031,"22657, 22630, 22191",3877,654
297022,302 - Riverton,Warren,R12 - Shenandoah,R12E - Winchester,031,"22645, 22066, 22663, 22655, 22630, 22649, 22657",3321,611
297029,101 - East Abingdon,Washington,R13 - Southwest,R13B - Galax,044,"24361, 24211, 24210",3576,624
297061,202 - Wise,Wise,R13 - Southwest,R13B - Galax,045,"24293, 24273, 23322, 24230, 23181, 24171, 24279",4011,329
297071,303 - East Wytheville,Wythe,R13 - Southwest,R13B - Galax,046,24382,3730,603
297096,105 - Lee Center,Alexandria (City),R01 - Inner Nova,R01A - Alexandria,005,"22304, 22079, 22314",3107,2332
297111,303 - Charles E Beatley Library,Alexandria (City),R01 - Inner Nova,R01I - Westend Alexandria,004,"20166, 22025, 22601, 22304",3518,2915
297123,002 - Second Ward,Buena Vista (City),R12 - Shenandoah,R12D - Staunton,037,"24416, 24066",2204,265
297146,015 - Greenbrier Middle School,Chesapeake (City),R09 - Suffolk,R09A - Chesapeake,091,"23462, 23320",4103,2327
297217,001 - One,Fairfax (City),R02 - Fairfax,R02D - Fair Oaks,011,"22030, 22032",2704,1735
297335,203 - Charles,Newport News (City),R08 - Newport News,R08E - Nicewood,070,"23602, 23503",4407,2115
297394,301 - Ballentine,Norfolk (City),R10 - Virginia Beach / Norfolk,R10E - Norfolk Central,093,23509,3054,2511
297423,503 - East Ocean View,Norfolk (City),R10 - Virginia Beach / Norfolk,R10G - North Norfolk,094,"23518, 23455, 23320, 23314",4258,2197
297434,101 - First Ward First Precinct,Petersburg (City),R11 - Southside,R11D - HD 82,082,"23805, 23803",3116,2671
297435,201 - Second Ward First Precinct,Petersburg (City),R11 - Southside,R11D - HD 82,082,"23805, 23227",3604,3182
