van_precinct_id,van_precinct_name,county_name,Current Region,Current Turf,HDs,Zips,voters,supporters
1706903,708 - Seven Hundred Eight,Richmond (City),R07 - South Richmond,R07D - Rocketts Landing,079,"23219, 23223, 23238",2195,1815
1902008,006 - Round,Manassas (City),R03 - Loudoun,R03E - Manassas,020,20110,3213,1691
2257701,147 - Precinct 147,Arlington,R01 - Inner Nova,R01D - Barcroft,003,"22203, 22204",2662,2245
2257719,102 - Precinct 102,Arlington,R01 - Inner Nova,R01E - Clarendon,002,"22204, 22201, 22210, 22153, 22203",3628,2955
2257730,118 - Precinct 118,Arlington,R01 - Inner Nova,R01B - Arlington,002,"22201, 22209, 22039",6795,5375
2257737,130 - Precinct 130,Arlington,R01 - Inner Nova,R01D - Barcroft,003,"22206, 22204",3524,3040
2257742,505 - Eskimo Hill,Stafford,R04 - Prince William,R04E - HD 64,064,"22554, 22405",1395,644
2274012,402 - Woodstock South,Shenandoah,R12 - Shenandoah,R12A - Harrisonburg,033,"22664, 22824",2334,532
2274040,504 - Green Valley,Roanoke,R12 - Shenandoah,R12C - South Roanoke,040,"24015, 24018",3523,1177
2302154,738 - Jones Branch,Fairfax,R02 - Fairfax,R02I - Vienna,012,"22102, 20190",2731,1781
2302164,323 - Sycolin Creek,Loudoun,R03 - Loudoun,R03D - Leesburg,029,20175,2582,1097
295361,202 - University,Albemarle,R14 - Charlottesville,R14E - UV,054,"22901, 22903, 22904",3734,2306
295369,305 - Country Green,Albemarle,R14 - Charlottesville,R14C - S Charlottesville,055,"22902, 22903, 22959",3186,2195
295378,503 - Hollymead,Albemarle,R14 - Charlottesville,R14B - NE Charlottesville,055,"22911, 22942",3309,2054
295381,601 - Crozet,Albemarle,R14 - Charlottesville,R14E - UV,055,"22903, 22932, 22901",3988,2236
295383,603 - Earlysville,Albemarle,R14 - Charlottesville,R14E - UV,055,"22911, 22936, 22923, 22968, 22935",3476,1692
295480,301 - Fort Defiance,Augusta,R12 - Shenandoah,R12D - Staunton,035,"24486, 24437, 22812, 24482, 22841, 24467, 24301",2062,346
295489,501 - Greenville,Augusta,R12 - Shenandoah,R12D - Staunton,036,"24401, 24472, 24477, 24440, 24459",2432,240
