van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,HDs,voters,supporters,precinct_name_doe,GEOID,centroid_lat,centroid_lon,min_lon,min_lat,max_lon,max_lat,Changed
297094,Alexandria (City),103 - Lyles Crouch School,R01 - Inner Nova,R01A - Alexandria,5,4035,3065,Lyles Crouch School,51510000103,38.79434250521597,-77.04542288393527,-77.05378000002761,38.78521600044655,-77.03900600053946,38.80320599978359,False
297100,Alexandria (City),109 - Fire Department Headquarters,R01 - Inner Nova,R01A - Alexandria,5,2787,2144,Fire Department Headquarters,51510000109,38.82457262632515,-77.04610425957048,-77.04961300019052,38.81415299974738,-77.04340799965486,38.841258999822024,False
297095,Alexandria (City),104 - Durant Center,R01 - Inner Nova,R01A - Alexandria,5,3346,2652,Durant Center,51510000104,38.80702203140718,-77.05355847969345,-77.06475699957451,38.802785000133134,-77.04599699999925,38.81308600010985,False
297093,Alexandria (City),102 - City Hall,R01 - Inner Nova,R01A - Alexandria,5,3194,2436,City Hall,51510000102,38.8045310759552,-77.04274811268962,-77.04793899954004,38.79948600031393,-77.03764200040867,38.80961299977371,False
297101,Alexandria (City),201 - Naomi L. Brooks School,R01 - Inner Nova,R01A - Alexandria,5,2674,2174,Naomi L. Brooks School,51510000201,38.81241449444398,-77.06298930992548,-77.0715509993908,38.806869999881485,-77.05483400053697,38.81781200006974,False
1848143,Alexandria (City),110 - Charles Houston Center,R01 - Inner Nova,R01A - Alexandria,5,4984,3843,Charles Houston Center,51510000110,38.813653186676554,-77.04975039021575,-77.05483400053697,38.80961299977371,-77.04502400057903,38.82038500015422,False
1936188,Alexandria (City),111 - Potomac Yard,R01 - Inner Nova,R01A - Alexandria,5,2275,1699,Potomac Yard,51510000111,38.83230526019335,-77.0492747412659,-77.0524000000033,38.82038500015422,-77.0467600002555,38.84157499956586,False
297096,Alexandria (City),105 - Lee Center,R01 - Inner Nova,R01A - Alexandria,5,3107,2332,Lee Center,51510000105,38.798050461908296,-77.05583893014736,-77.06198400000542,38.789937999731215,-77.0494149998238,38.80456599979919,False
297099,Alexandria (City),108 - George Washington Middle Sch,R01 - Inner Nova,R01A - Alexandria,5,4502,3765,George Washington Middle School,51510000108,38.8200556165295,-77.05779531613962,-77.06654200055308,38.81308600010985,-77.0496269995359,38.82533499961201,False
297092,Alexandria (City),101 - Old Town North,R01 - Inner Nova,R01A - Alexandria,5,3914,2996,Old Town North,51510000101,38.820605130379434,-77.04155110553582,-77.04817100024194,38.80857400031329,-77.03728799950804,38.84128100003567,False
297105,Alexandria (City),205 - Douglas MacArthur School,R01 - Inner Nova,R01A - Alexandria,5,4252,3324,Douglas MacArthur School,51510000205,38.80830576608508,-77.07853840357669,-77.0912199997105,38.80080999955038,-77.06092199999844,38.81741599969136,False
2257716,Arlington,129 - Precinct 129,R01 - Inner Nova,R01C - Placeholder1,1,3034,2561,PRECINCT 129,51013000129,38.87815652486552,-77.14329217351205,-77.15542800002622,38.87309799968064,-77.12768600014826,38.88467300001464,False
2257724,Arlington,139 - Precinct 139,R01 - Inner Nova,R01C - Placeholder1,1,1862,1551,PRECINCT 139,51013000139,38.87093043477088,-77.13460864931876,-77.14679435201766,38.86614907039991,-77.12652600023199,38.87643300020699,False
2257764,Arlington,104 - Precinct 104,R01 - Inner Nova,R01C - Placeholder1,1,4083,3340,PRECINCT 104,51013000104,38.877607661998375,-77.12094616041318,-77.12962100001634,38.868397000059616,-77.11125800010112,38.88540199992941,False
2257715,Arlington,138 - Precinct 138,R01 - Inner Nova,R01B - Arlington,"003, 002",3475,2830,PRECINCT 138,51013000138,38.86448054528843,-77.07362736379913,-77.08307099998426,38.86017799998302,-77.06531499979134,38.870175000323115,False
